Species_ID,Scientific_Name,Code,Taxonomic_Order,Taxonomic_Family,Genus,Species,Subdivision,Authority,Authority_Source,Citation,Life_Cycle,Update_Date,Update_By,Update_Comments,Park,Life_Form,Nativity,Park_Common_Name,Distribution,Conservation_Status
20100315154438-110386848.449707,Dryopteris unidentata var. unidentata,DRYUNI4,Polypodiales,Dryopteridaceae,Dryopteris,unidentata,var. unidentata,(Hook. & Arn.) C.Chr.,2012 Bishop Museum Technical Report 60,Palmer 2003,Perennial,2013-12-12T15:46:39Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authorit",HAVO,,Native,,end,
20100315154438-110386848.449707,Dryopteris unidentata var. unidentata,DRYUNI4,Polypodiales,Dryopteridaceae,Dryopteris,unidentata,var. unidentata,(Hook. & Arn.) C.Chr.,2012 Bishop Museum Technical Report 60,Palmer 2003,Perennial,2013-12-12T15:46:39Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authorit",KALA,,Native,,end,
20100315154438-111181378.364563,Camellia japonica,CAMJAP,Theales,Theaceae,Camellia,japonica,,,,,Perennial,,,,HALE,,Non-Native,,,
20100315154438-111181378.364563,Camellia japonica,CAMJAP,Theales,Theaceae,Camellia,japonica,,,,,Perennial,,,,HAVO,,Non-Native,,,
20100315154438-111244201.660156,Eragrostis grandis,ERAGRA,Cyperales,Poaceae,Eragrostis,grandis,,Hillebr.,Wagner et al. 2012,"Herbst & Clayton, 1998",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,Grass,Native,Eragrostis grandis,end,
20100315154438-111244201.660156,Eragrostis grandis,ERAGRA,Cyperales,Poaceae,Eragrostis,grandis,,Hillebr.,Wagner et al. 2012,"Herbst & Clayton, 1998",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,Grass,Native,Eragrostis grandis,end,
20100315154438-111244201.660156,Eragrostis grandis,ERAGRA,Cyperales,Poaceae,Eragrostis,grandis,,Hillebr.,Wagner et al. 2012,"Herbst & Clayton, 1998",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,KALA,Grass,Native,Eragrostis grandis,end,
20100315154438-111432909.965515,Peperomia reineckei,PEPREI,Piperales,Piperaceae,Peperomia,reineckei,,,,,Both,,,,NPSA,,Native,,,
20100315154438-113552629.947662,Cyanea dunbariae,CYADUN,Campanulales,Campanulaceae,Cyanea,dunbariae,,Rock,Wagner et al. 2012,"Hughes, 1995; Lammers, pers. comm., 1997",Perennial,2013-12-13T12:17:25Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",KALA,,Native,,end,
20100315154438-113618969.917297,Ximenia americana,XIMAME,Santalales,Olacaceae,Ximenia,americana,,,,,Perennial,,,,NPSA,,Native,,,
20100315154438-113618969.917297,Ximenia americana,XIMAME,Santalales,Olacaceae,Ximenia,americana,,,,,Perennial,,,,WAPA,,Native,,,
20100315154438-113737404.346466,Ischaemum byrone,ISCBYR,Cyperales,Poaceae,Ischaemum,byrone,,(Trin.) Hitchc.,Wagner et al. 2012,"Lorence et al., 1995; Imada et al., 2000",Perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,,Non-Native,,end,E
20100315154438-113737404.346466,Ischaemum byrone,ISCBYR,Cyperales,Poaceae,Ischaemum,byrone,,(Trin.) Hitchc.,Wagner et al. 2012,"Lorence et al., 1995; Imada et al., 2000",Perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,,Native,,end,E
20100315154438-113947570.323944,Lotus subbiflorus,LOTSUB,Fabales,Fabaceae,Lotus,subbiflorus,,Lag.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Annual,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,Herb,Non-Native,hairy bird's-foot trefoil,nat,
20100315154438-113947570.323944,Lotus subbiflorus,LOTSUB,Fabales,Fabaceae,Lotus,subbiflorus,,Lag.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Annual,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,Herb,Non-Native,hairy bird's-foot trefoil,nat,
20100315154438-114195466.041565,Pandanus veitchii,PANVEI,Pandanales,Pandanaceae,Pandanus,veitchii,,,,,Perennial,,,,PUHE,,Non-Native,,,
20100315154438-114332795.143127,Syzygium dealatum,SYZDEA,Myrtales,Myrtaceae,Syzygium,dealatum,,(Burkill) A. C. Smith,Whistler 2004,,,,,,NPSA,Tree,Native,asi vai,ind,
20100315154438-114623308.181763,Tabernaemontana pandacaqui,TABPAN,Gentianales,Apocynaceae,Tabernaemontana,pandacaqui,,Poir.,Wagner et al. 2012,"Frohlich & Lau, 2010",Perennial,2013-12-12T15:30:01Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authorit",NPSA,,Native,,,
20100315154438-114816963.672638,Pritchardia schattaueri,PRISCH,Arecales,Arecaceae,Pritchardia,schattaueri,,Hodel,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Hodel 2007,Perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,PUHO,,Native,,end,E
20100315154438-115470111.370087,Hedychium spicatum,HEDSPI,Zingiberales,Zingiberaceae,Hedychium,spicatum,,,,,Perennial,,,,HAVO,,Non-Native,,,
20100315154438-115647733.211517,Homalocladium platycladum,HOMPLA,Polygonales,Polygonaceae,Homalocladium,platycladum,,,,,Perennial,,,,HAVO,,Non-Native,,,
20100315154438-116229474.544525,Schoenoplectus tabernaemontani,SCHTAB,Cyperales,Cyperaceae,Schoenoplectus,tabernaemontani,,(C. C. Gmel.) Palla,Wagner et al. 2012,"Smith, 1995",Perennial,2013-12-13T12:17:25Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",HALE,,Native,,ind,
20100315154438-117231607.437134,Amaranthus tricolor,AMATRI,Caryophyllales,Amaranthaceae,Amaranthus,tricolor,,,,,Annual,,,,HAVO,,Non-Native,,,
20100315154438-117402136.325836,Gamochaeta purpurea,GAMPUR,Asterales,Asteraceae,Gamochaeta,purpurea,,(L.) Cabrera,Wagner et al. 2012,"Wagner et al., 1997; Wood & LeGrande, 2006; Alford, submitted",Biennial,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",HALE,Herb,Non-Native,purple cudweed,nat,
20100315154438-117402136.325836,Gamochaeta purpurea,GAMPUR,Asterales,Asteraceae,Gamochaeta,purpurea,,(L.) Cabrera,Wagner et al. 2012,"Wagner et al., 1997; Wood & LeGrande, 2006; Alford, submitted",Biennial,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",HAVO,Herb,Non-Native,purple cudweed,nat,
20100315154438-117402136.325836,Gamochaeta purpurea,GAMPUR,Asterales,Asteraceae,Gamochaeta,purpurea,,(L.) Cabrera,Wagner et al. 2012,"Wagner et al., 1997; Wood & LeGrande, 2006; Alford, submitted",Biennial,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",KALA,Herb,Non-Native,purple cudweed,nat,
20100315154438-117402136.325836,Gamochaeta purpurea,GAMPUR,Asterales,Asteraceae,Gamochaeta,purpurea,,(L.) Cabrera,Wagner et al. 2012,"Wagner et al., 1997; Wood & LeGrande, 2006; Alford, submitted",Biennial,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",PUHE,Herb,Non-Native,purple cudweed,nat,
20100315154438-117402136.325836,Gamochaeta purpurea,GAMPUR,Asterales,Asteraceae,Gamochaeta,purpurea,,(L.) Cabrera,Wagner et al. 2012,"Wagner et al., 1997; Wood & LeGrande, 2006; Alford, submitted",Biennial,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",PUHO,Herb,Non-Native,purple cudweed,nat,
20100315154438-118249237.537384,Polystichum haleakalense,POLHAL,Polypodiales,Dryopteridaceae,Polystichum,haleakalense,,Brack.,2012 Bishop Museum Technical Report 60,Palmer 2003,Perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,,Native,,end,
20100315154438-118249237.537384,Polystichum haleakalense,POLHAL,Polypodiales,Dryopteridaceae,Polystichum,haleakalense,,Brack.,2012 Bishop Museum Technical Report 60,Palmer 2003,Perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,,Native,,end,
20100315154438-118437349.796295,Pittosporum terminalioides,PITTER,Rosales,Pittosporaceae,Pittosporum,terminalioides,,Planch. ex A. Gray,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,Tree,Native,hō‘awa,end,
20100315154438-118437349.796295,Pittosporum terminalioides,PITTER,Rosales,Pittosporaceae,Pittosporum,terminalioides,,Planch. ex A. Gray,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,Tree,Native,hō‘awa,end,
20100315154438-119043529.033661,Spermacoce ovalifolia,SPEOVA,Rubiales,Rubiaceae,Spermacoce,ovalifolia,,(M. Martens & Galeotti) Hemsl.,Wagner et al. 2012,"Lorence et al., 1995; Wagner et al., 1997; Oppenheimer, 2003",Annual,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data. Updated life form in xref table from PLANTS database.,NPSA,,Non-Native,,,
20100315154438-119544029.23584,Asparagus spp.,ASPARA,Liliales,Asparagaceae,Asparagus,spp.,,,,,,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSN",HALE,Herb,Non-Native,asparagus fern,nat,
20100315154438-119544029.23584,Asparagus spp.,ASPARA,Liliales,Asparagaceae,Asparagus,spp.,,,,,,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSN",HAVO,Herb,Non-Native,asparagus fern,nat,
20100315154438-119544029.23584,Asparagus spp.,ASPARA,Liliales,Asparagaceae,Asparagus,spp.,,,,,,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSN",KALA,Herb,Non-Native,asparagus fern,nat,
20100315154438-119792342.185974,Deparia marginalis,DEPMAR,Polypodiales,Woodsiaceae,Deparia,marginalis,,(Hillebr.) M.Kato,2012 Bishop Museum Technical Report 60,Kato 2001; Palmer 2003,Perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,,Native,,end,
20100315154438-119792342.185974,Deparia marginalis,DEPMAR,Polypodiales,Woodsiaceae,Deparia,marginalis,,(Hillebr.) M.Kato,2012 Bishop Museum Technical Report 60,Kato 2001; Palmer 2003,Perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,KALA,,Native,,end,
20100315154438-119875490.665436,Melicope orbicularis,MELORB,Sapindales,Rutaceae,Melicope,orbicularis,,(Hillebr.) T.G.Hartley & B.C.Stone,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Hartley & Stone 1989,Perennial,2013-12-13T12:17:25Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",HALE,Tree,Native,,end,
20100315154438-120011270.046234,Codiaeum variegatum,CODVAR,Euphorbiales,Euphorbiaceae,Codiaeum,variegatum,,(L.) Juss.,ITIS,,Perennial,,,,AMME,Tree,Non-Native,,,
20100315154438-120011270.046234,Codiaeum variegatum,CODVAR,Euphorbiales,Euphorbiaceae,Codiaeum,variegatum,,(L.) Juss.,ITIS,,Perennial,,,,NPSA,Tree,Non-Native,garden croton,nat,
20100315154438-120011270.046234,Codiaeum variegatum,CODVAR,Euphorbiales,Euphorbiaceae,Codiaeum,variegatum,,(L.) Juss.,ITIS,,Perennial,,,,WAPA,Tree,Non-Native,,,
20100315154438-120123505.592346,Polyscias kavaiensis,POLKAV,Apiales,Araliaceae,Polyscias,kavaiensis,,,Wagner et al. 2012,"Lowery & Plunkett, 2010",Perennial,2013-12-13T12:15:59Z,Kelly Kozar,Updated life form in cross reference table from data in the PLANTS database.,HALE,,Native,`ohe`ohe,,
20100315154438-120123505.592346,Polyscias kavaiensis,POLKAV,Apiales,Araliaceae,Polyscias,kavaiensis,,,Wagner et al. 2012,"Lowery & Plunkett, 2010",Perennial,2013-12-13T12:15:59Z,Kelly Kozar,Updated life form in cross reference table from data in the PLANTS database.,HAVO,,Native,`ohe`ohe,,
20100315154438-120123505.592346,Polyscias kavaiensis,POLKAV,Apiales,Araliaceae,Polyscias,kavaiensis,,,Wagner et al. 2012,"Lowery & Plunkett, 2010",Perennial,2013-12-13T12:15:59Z,Kelly Kozar,Updated life form in cross reference table from data in the PLANTS database.,KALA,,Native,`ohe`ohe,,
