Species_ID,Scientific_Name,Code,Taxonomic_Order,Taxonomic_Family,Genus,Species,Subdivision,Authority,Synonym,Authority_Source,Citation,Common_Name,Life_Cycle,Complete,Update_Date,Update_By,Update_Comments,Park,Life_Form,Nativity,Park_Common_Name,Distribution,Conservation_Status
20100315154438-417126953.601837,Peperomia remyi,PEPREM,Piperales,Piperaceae,Peperomia,remyi,,C.DC.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,valley peperomia,Both,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,HALE,,Native,,end,
20100315154438-417126953.601837,Peperomia remyi,PEPREM,Piperales,Piperaceae,Peperomia,remyi,,C.DC.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,valley peperomia,Both,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,HAVO,,Native,,end,
20100315154438-417599201.202393,Mentha X spicata,MENSPI,Lamiales,Lamiaceae,Mentha,X spicata,,L.,Mentha spicata L.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,"spearmint, kepemineka",Perennial,FALSE,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",HAVO,,Non-Native,,nat,
20100315154438-417668163.776398,Medicago rugosa,MEDRUG,Fabales,Fabaceae,Medicago,rugosa,,Desr.,,Wagner et al. 2012,"Lorence & Flynn, 1997; Oppeneheimer & Bartlett, 2002; Oppenheimer, 2007",wrinkled medick,Annual,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database.,KALA,,Non-Native,,nat,
20100315154438-417679667.472839,Canavalia cathartica,CANCAT,Fabales,Fabaceae,Canavalia,cathartica,,Thouars,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,maunaloa,Perennial,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,HALE,,Non-Native,,nat,
20100315154438-417679667.472839,Canavalia cathartica,CANCAT,Fabales,Fabaceae,Canavalia,cathartica,,Thouars,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,maunaloa,Perennial,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,NPSA,,Native,,,
20100315154438-417679667.472839,Canavalia cathartica,CANCAT,Fabales,Fabaceae,Canavalia,cathartica,,Thouars,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,maunaloa,Perennial,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,KALA,,Non-Native,,nat,
20100315154438-417679667.472839,Canavalia cathartica,CANCAT,Fabales,Fabaceae,Canavalia,cathartica,,Thouars,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,maunaloa,Perennial,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,HAVO,,Non-Native,,nat,
20100315154438-417679667.472839,Canavalia cathartica,CANCAT,Fabales,Fabaceae,Canavalia,cathartica,,Thouars,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,maunaloa,Perennial,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,WAPA,,Native,,,
20100315154438-417679667.472839,Canavalia cathartica,CANCAT,Fabales,Fabaceae,Canavalia,cathartica,,Thouars,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,maunaloa,Perennial,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,PUHO,,Non-Native,,nat,
20100315154438-419944703.578949,Doryopteris decipiens,DORDEC3,Polypodiales,Pteridaceae,Doryopteris,decipiens,,(Hook.) J. Sm.,,2012 Bishop Museum Technical Report 60,Palmer 2003; Yesilyurt 2005; Wood & LeGrande 2006,,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HALE,Fern,Native,kumuniu,end,
20100315154438-419944703.578949,Doryopteris decipiens,DORDEC3,Polypodiales,Pteridaceae,Doryopteris,decipiens,,(Hook.) J. Sm.,,2012 Bishop Museum Technical Report 60,Palmer 2003; Yesilyurt 2005; Wood & LeGrande 2006,,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HAVO,Fern,Native,kumuniu,end,
20100315154438-419944703.578949,Doryopteris decipiens,DORDEC3,Polypodiales,Pteridaceae,Doryopteris,decipiens,,(Hook.) J. Sm.,,2012 Bishop Museum Technical Report 60,Palmer 2003; Yesilyurt 2005; Wood & LeGrande 2006,,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,KALA,Fern,Native,kumuniu,end,
20100315154438-419980525.970459,Psidium guajava,PSIGUA,Myrtales,Myrtaceae,Psidium,guajava,,L.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,"guava, kuawa, puawa",Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HALE,Shrub,Non-Native,common guava,nat,
20100315154438-419980525.970459,Psidium guajava,PSIGUA,Myrtales,Myrtaceae,Psidium,guajava,,L.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,"guava, kuawa, puawa",Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,KALA,Shrub,Non-Native,common guava,nat,
20100315154438-419980525.970459,Psidium guajava,PSIGUA,Myrtales,Myrtaceae,Psidium,guajava,,L.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,"guava, kuawa, puawa",Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,NPSA,Shrub,Non-Native,common kuava,,
20100315154438-419980525.970459,Psidium guajava,PSIGUA,Myrtales,Myrtaceae,Psidium,guajava,,L.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,"guava, kuawa, puawa",Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HAVO,Shrub,Non-Native,common guava,nat,
20100315154438-419980525.970459,Psidium guajava,PSIGUA,Myrtales,Myrtaceae,Psidium,guajava,,L.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,"guava, kuawa, puawa",Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,WAPA,Shrub,Non-Native,guava,,
20100315154438-420111358.165741,Stenotaphrum micranthum,STEMIC2,Cyperales,Poaceae,Stenotaphrum,micranthum,,,,,,,Perennial,FALSE,,,,NPSA,,Native,,,
20100315154438-420111358.165741,Stenotaphrum micranthum,STEMIC2,Cyperales,Poaceae,Stenotaphrum,micranthum,,,,,,,Perennial,FALSE,,,,WAPA,,Native,,,
20100315154438-420733511.447906,Mirabilis jalapa,MIRJAL,Caryophyllales,Nyctaginaceae,Mirabilis,jalapa,,L.,,Wagner et al. 2012,"Oppenheimer, 2003","common four-o'clock, marvel of Peru, marvel-of-Peru",Perennial,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,HALE,,Non-Native,,nat,
20100315154438-420733511.447906,Mirabilis jalapa,MIRJAL,Caryophyllales,Nyctaginaceae,Mirabilis,jalapa,,L.,,Wagner et al. 2012,"Oppenheimer, 2003","common four-o'clock, marvel of Peru, marvel-of-Peru",Perennial,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,HAVO,,Non-Native,,nat,
20100315154438-420733511.447906,Mirabilis jalapa,MIRJAL,Caryophyllales,Nyctaginaceae,Mirabilis,jalapa,,L.,,Wagner et al. 2012,"Oppenheimer, 2003","common four-o'clock, marvel of Peru, marvel-of-Peru",Perennial,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,KALA,,Non-Native,,nat,
20100315154438-420877039.432526,Schiedea diffusa ssp. diffusa,SCHDIF2,Caryophyllales,Caryophyllaceae,Schiedea,diffusa,ssp. diffusa,A.Gray; end,Schiedea diffusa A.Gray,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Wagner et al. 2005,,Perennial,FALSE,2013-12-12T15:44:13Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source, citation, and synonym.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",HALE,,Native,,end,
20100315154438-421160638.332367,Desmodium triflorum,DESTRI,Fabales,Fabaceae,Desmodium,triflorum,,(L.) DC.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,KAHO,Herb,Non-Native,Desmodium triflorum,nat,
20100315154438-421160638.332367,Desmodium triflorum,DESTRI,Fabales,Fabaceae,Desmodium,triflorum,,(L.) DC.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HALE,Herb,Non-Native,Desmodium triflorum,nat,
20100315154438-421160638.332367,Desmodium triflorum,DESTRI,Fabales,Fabaceae,Desmodium,triflorum,,(L.) DC.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HAVO,Herb,Non-Native,Desmodium triflorum,nat,
20100315154438-421160638.332367,Desmodium triflorum,DESTRI,Fabales,Fabaceae,Desmodium,triflorum,,(L.) DC.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,KALA,Herb,Non-Native,Desmodium triflorum,nat,
20100315154438-421160638.332367,Desmodium triflorum,DESTRI,Fabales,Fabaceae,Desmodium,triflorum,,(L.) DC.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,WAPA,Herb,Non-Native,threeflower ticktrefoil,,
20100315154438-421160638.332367,Desmodium triflorum,DESTRI,Fabales,Fabaceae,Desmodium,triflorum,,(L.) DC.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,NPSA,Herb,Non-Native,Desmodium triflorum,nat,
20100315154438-421160638.332367,Desmodium triflorum,DESTRI,Fabales,Fabaceae,Desmodium,triflorum,,(L.) DC.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,AMME,Herb,Non-Native,threeflower ticktrefoil,,
20100315154438-421160638.332367,Desmodium triflorum,DESTRI,Fabales,Fabaceae,Desmodium,triflorum,,(L.) DC.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,PUHO,Herb,Non-Native,Desmodium triflorum,nat,
20100315154438-421160638.332367,Desmodium triflorum,DESTRI,Fabales,Fabaceae,Desmodium,triflorum,,(L.) DC.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,PUHE,Herb,Non-Native,Desmodium triflorum,nat,
20100315154438-421615064.144135,Pisonia grandis,PISGRA,Caryophyllales,Nyctaginaceae,Pisonia,grandis,,R. Br.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,pu'a vai,Perennial,TRUE,2013-12-12T15:30:01Z,Kelly Kozar,,NPSA,Tree,Native,pu‘a vai,ind,
20100315154438-422196865.081787,Gomphrena serrata,GOMSER,Caryophyllales,Amaranthaceae,Gomphrena,serrata,,,,,,arrasa con todo,Both,FALSE,2013-12-13T12:15:59Z,Kelly Kozar,Updated life form in cross reference table from data in the PLANTS database.,WAPA,,Non-Native,,,
20100315154438-42226254.940033,Hymenophyllum polyanthos,HYMPOL,Polypodiales,Hymenophyllaceae,Hymenophyllum,polyanthos,,,,,,smooth filmy fern,Perennial,FALSE,,,,NPSA,,Native,,,
20100315154438-422918260.097504,Melanthera integrifolia,MELINT,Asterales,Asteraceae,Melanthera,integrifolia,,(Nutt.) W. L. Wagner & H. Rob.,Lipochaeta integrifolia (Nutt.) Gray,Wagner et al. 2012,"Wagner & Robinson, 2001",,Perennial,FALSE,2013-12-12T15:44:13Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source, citation, and synonym.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",KALA,,Native,,end,
20100315154438-423023998.737335,Sadleria cyatheoides,SADCYA,Polypodiales,Blechnaceae,Sadleria,cyatheoides,,Kaulf.,,2012 Bishop Museum Technical Report 60,Palmer 2003; Staples & Herbst 2005,‘Ama‘u,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HALE,Tree Fern,Native,‘ama‘u,end,
20100315154438-423023998.737335,Sadleria cyatheoides,SADCYA,Polypodiales,Blechnaceae,Sadleria,cyatheoides,,Kaulf.,,2012 Bishop Museum Technical Report 60,Palmer 2003; Staples & Herbst 2005,‘Ama‘u,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,KALA,Tree Fern,Native,‘ama‘u,end,
20100315154438-423023998.737335,Sadleria cyatheoides,SADCYA,Polypodiales,Blechnaceae,Sadleria,cyatheoides,,Kaulf.,,2012 Bishop Museum Technical Report 60,Palmer 2003; Staples & Herbst 2005,‘Ama‘u,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HAVO,Tree Fern,Native,‘ama‘u,end,
20100315154438-423168957.233429,Joinvillea ascendens ssp. ascendens,JOIASC,Restionales,Joinvilleaceae,Joinvillea,ascendens,ssp. ascendens,Gaudich. ex Brongn. & Gris,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,‘ohe,Perennial,FALSE,2013-12-12T15:46:39Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",HALE,,Native,,end,
20100315154438-423168957.233429,Joinvillea ascendens ssp. ascendens,JOIASC,Restionales,Joinvilleaceae,Joinvillea,ascendens,ssp. ascendens,Gaudich. ex Brongn. & Gris,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,‘ohe,Perennial,FALSE,2013-12-12T15:46:39Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",HAVO,,Native,‘ohe,end,
20100315154438-423168957.233429,Joinvillea ascendens ssp. ascendens,JOIASC,Restionales,Joinvilleaceae,Joinvillea,ascendens,ssp. ascendens,Gaudich. ex Brongn. & Gris,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,‘ohe,Perennial,FALSE,2013-12-12T15:46:39Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",KALA,,Native,,end,
20100315154438-423368513.584137,Cleome gynandra,CLEGYN,Capparales,Cleomaceae,Cleome,gynandra,,L.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,wild spider flower,Annual,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,KAHO,Herb,Non-Native,wild spider flower,nat,
20100315154438-423368513.584137,Cleome gynandra,CLEGYN,Capparales,Cleomaceae,Cleome,gynandra,,L.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,wild spider flower,Annual,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,PUHE,Herb,Non-Native,wild spider flower,nat,
20100315154438-423368513.584137,Cleome gynandra,CLEGYN,Capparales,Cleomaceae,Cleome,gynandra,,L.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,wild spider flower,Annual,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,PUHO,Herb,Non-Native,wild spider flower,nat,
20100315154438-423750758.171082,Clermontia clermontioides ssp. clermontioides,CLECLE,Campanulales,Campanulaceae,Clermontia,clermontioides,ssp. clermontioides,(Gaudich.) A. Heller,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Lammers 1991,‘Oha,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HAVO,Tree,Native,‘ōhā wai,end,
20100315154438-423793256.282806,Pittosporum hawaiiense,PITHAW,Rosales,Pittosporaceae,Pittosporum,hawaiiense,,Hillebr.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,"hoawa, haawa, ha‘awa",Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HAVO,Tree,Native,hō‘awa,end,
20100315154438-424929141.998291,Digitaria henryi,DIGHEN,Cyperales,Poaceae,Digitaria,henryi,,Rendle,,"J. Linn. Soc., Bot. 36: 323 (1904)","Yuncker, T. G. (1945) (p. 23)",,Perennial,FALSE,2023-07-26T00:00:00Z,Jacob Gross,Some sources treat D. henryi as synonym of D. ciliaris. K. Faccenda treats them as distinct species and indicated BISH will treat as distinct also. Differs from D. ciliaris because D. henryi has glabrous sheaths and contracted panicle branches.,NPSA,Grass,Non-Native,,nat?,
20100315154438-424929141.998291,Digitaria henryi,DIGHEN,Cyperales,Poaceae,Digitaria,henryi,,Rendle,,"J. Linn. Soc., Bot. 36: 323 (1904)","Yuncker, T. G. (1945) (p. 23)",,Perennial,FALSE,2023-07-26T00:00:00Z,Jacob Gross,Some sources treat D. henryi as synonym of D. ciliaris. K. Faccenda treats them as distinct species and indicated BISH will treat as distinct also. Differs from D. ciliaris because D. henryi has glabrous sheaths and contracted panicle branches.,HAVO,Grass,Non-Native,,nat,
20100315154438-425485014.915466,Bolbitis palustris,BOLPAL,Polypodiales,Dryopteridaceae,Bolbitis,palustris,,,,,,,Perennial,FALSE,,,,NPSA,,Native,,,
20100315154438-425534129.142761,Cyrtococcum trigonum,CYRTRI,Cyperales,Poaceae,Cyrtococcum,trigonum,,,,,,,Perennial,FALSE,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSNs to permanent TSNs.",NPSA,,Non-Native,,,
20100315154438-425603270.530701,Orthocarpus purpurascens,ORTPUR,Scrophulariales,Orobanchaceae,Orthocarpus,purpurascens,,Benth.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,owl's clover,Annual,FALSE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated family to new family name based on Wagner et al. 2012.,HAVO,,Non-Native,,nat,
20100315154438-425812780.857086,Cyanthillium cinereum,CYACIN2,Asterales,Asteraceae,Cyanthillium,cinereum,,(L.) H. Rob.,Vernonia cinerea (L.) Less. var. parviflora (Reinw.) DC.,Wagner et al. 2012,"Wagner et al., 1997",little ironweed,Annual,TRUE,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",AMME,Herb,Non-Native,little ironweed,,
20100315154438-425812780.857086,Cyanthillium cinereum,CYACIN2,Asterales,Asteraceae,Cyanthillium,cinereum,,(L.) H. Rob.,Vernonia cinerea (L.) Less. var. parviflora (Reinw.) DC.,Wagner et al. 2012,"Wagner et al., 1997",little ironweed,Annual,TRUE,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",HALE,Herb,Non-Native,,nat,
20100315154438-425812780.857086,Cyanthillium cinereum,CYACIN2,Asterales,Asteraceae,Cyanthillium,cinereum,,(L.) H. Rob.,Vernonia cinerea (L.) Less. var. parviflora (Reinw.) DC.,Wagner et al. 2012,"Wagner et al., 1997",little ironweed,Annual,TRUE,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",NPSA,Herb,Non-Native,,,
20100315154438-425812780.857086,Cyanthillium cinereum,CYACIN2,Asterales,Asteraceae,Cyanthillium,cinereum,,(L.) H. Rob.,Vernonia cinerea (L.) Less. var. parviflora (Reinw.) DC.,Wagner et al. 2012,"Wagner et al., 1997",little ironweed,Annual,TRUE,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",KALA,Herb,Non-Native,,nat,
20100315154438-425849318.504334,Hypolepis hawaiiensis var. hawaiiensis,HYPHAW,Polypodiales,Dennstaedtiaceae,Hypolepis,hawaiiensis,var. hawaiiensis,Brownsey,Hypolepis punctata,2012 Bishop Museum Technical Report 60,Palmer 2003,olua,Perennial,TRUE,2013-12-12T15:49:44Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs.",KALA,Fern,Native,olua,end,
20100315154438-425849318.504334,Hypolepis hawaiiensis var. hawaiiensis,HYPHAW,Polypodiales,Dennstaedtiaceae,Hypolepis,hawaiiensis,var. hawaiiensis,Brownsey,Hypolepis punctata,2012 Bishop Museum Technical Report 60,Palmer 2003,olua,Perennial,TRUE,2013-12-12T15:49:44Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs.",HALE,Fern,Native,olua,end,
20100315154438-425849318.504334,Hypolepis hawaiiensis var. hawaiiensis,HYPHAW,Polypodiales,Dennstaedtiaceae,Hypolepis,hawaiiensis,var. hawaiiensis,Brownsey,Hypolepis punctata,2012 Bishop Museum Technical Report 60,Palmer 2003,olua,Perennial,TRUE,2013-12-12T15:49:44Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs.",HAVO,Fern,Native,olua,end,
20100315154438-425971388.816834,Cyanea pilosa ssp. longipedunculata,CYAPIL2,Campanulales,Campanulaceae,Cyanea,pilosa,ssp. longipedunculata,A.Gray; (Rock) Lammers,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,hairy cyanea,Perennial,FALSE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HAVO,,Native,hairy cyanea,end,
20100315154438-427533328.533173,Boerhavia spp.,BOESP.,Caryophyllales,Nyctaginaceae,Boerhavia,spp.,,,,,,,Perennial,TRUE,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSNs to permanent TSNs.",KAHO,Herb,Unknown,Boerhavia spp.,,
20100315154438-427533328.533173,Boerhavia spp.,BOESP.,Caryophyllales,Nyctaginaceae,Boerhavia,spp.,,,,,,,Perennial,TRUE,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSNs to permanent TSNs.",HALE,Herb,Unknown,Boerhavia spp.,,
